Car_Name,Brand,Fuel_Type,Transmission,Car_Type,Engine(CC),Horsepower,Mileage(kmpl),Price($)
Chevrolet 535,Ford,Electric,Automatic,Sedan,2363,121,17.1,35932
,,Electric,Manual,Coupe,2981,337,24.8,44855
Honda 714,Nissan,Electric,Manual,Coupe,2354,,16,76434
Kia 566,Kia,,Manual,SUV,,182,22.2,87694
Chevrolet 430,Audi,Hybrid,Manual,Sedan,2529,170,22,58016
Mercedes 472,Nissan,Electric,Manual,Hatchback,3038,182,,
Audi 971,,,Manual,Hatchback,2496,150,,57642
Mercedes 230,Kia,Petrol,Automatic,Sedan,3237,256,20.4,30151
Nissan 408,Ford,Electric,Manual,Hatchback,2408,,22.9,66407
Ford 443,,Petrol,,Hatchback,,71,14.9,81690
Nissan 485,Audi,Diesel,Manual,Sedan,2306,,13.3,19499
Honda 260,Mercedes,,Automatic,Coupe,3680,289,20.7,21295
Kia 121,Chevrolet,Diesel,Manual,Sedan,3675,123,22.1,74040
Hyundai 660,Hyundai,Petrol,Manual,Coupe,1972,293,15.2,27183
Kia 575,Mercedes,Hybrid,Automatic,Hatchback,2768,294,11.4,44299
BMW 975,Honda,Electric,Manual,Hatchback,2282,195,24.1,27874
Chevrolet 343,Ford,Petrol,Manual,Hatchback,1709,199,16,47711
,Honda,Hybrid,Manual,SUV,2479,122,17.8,20539
Honda 918,Mercedes,Hybrid,Manual,Coupe,2434,241,22.6,68351
Chevrolet 120,Kia,Diesel,Manual,SUV,1648,287,20.1,76267
Hyundai 266,Hyundai,Petrol,Automatic,,1317,229,21,63354
Ford 487,Hyundai,Hybrid,,Sedan,2257,267,13.1,17557
Hyundai 415,Toyota,Electric,Automatic,,1683,316,18.1,53360
Ford 876,Hyundai,Electric,Manual,Sedan,1663,393,20.4,
Kia 664,Chevrolet,Diesel,Manual,Sedan,2998,272,13.4,
Ford 439,Hyundai,Hybrid,Manual,SUV,2631,253,12.6,61975
,Mercedes,Petrol,,,2495,192,24.7,36357
Mercedes 134,Toyota,Electric,Manual,Coupe,2136,324,17.7,17869
Toyota 661,Mercedes,Hybrid,Manual,Coupe,2853,363,13.9,76135
Mercedes 487,Mercedes,Hybrid,Automatic,Coupe,,349,,65108
